ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
35575;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Zezi-Kaufmannhaus;Getreidegasse 5;344;Bescheid
35576;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Gritzenbergerhaus;Getreidegasse 6;499;Bescheid
35577;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Reifenstuhlhaus;Getreidegasse 7;345;Bescheid
35578;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Mühlsteigerhaus, Ramsauerhaus;Getreidegasse 8;498;Bescheid
35579;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Mozarts Geburtshaus;Getreidegasse 9;346;Bescheid
35663;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wechsler- oder Lasserhaus;Giselakai 1;509;Bescheid
43139;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Englwirtshaus;Giselakai 11;515;Bescheid
46804;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Sleytzerhaus;Giselakai 15;520;Bescheid
38572;Salzburg (Statutarstadt);56537 Salzburg;Gasthaus;Giselakai 17;521;Bescheid
47996;Salzburg (Statutarstadt);56537 Salzburg;Villa/Landhaus;Giselakai 29;553;Bescheid
48070;Salzburg (Statutarstadt);56537 Salzburg;Torkosvilla;Giselakai 35;560;Bescheid
46790;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Hotel Stein;Giselakai 3-5;"510; 511";Bescheid
46785;Salzburg (Statutarstadt);56537 Salzburg;Villa/Landhaus;Giselakai 39;563;Bescheid
47993;Salzburg (Statutarstadt);56537 Salzburg;Czernyvilla;Giselakai 45;570, 569;Bescheid
48144;Salzburg (Statutarstadt);56537 Salzburg;Villa/Landhaus, Hoschek;Giselakai 47;572/6, 572/4;Bescheid
46793;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Wimmerhaus;Giselakai 7;512;Bescheid
46794;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Giselakai 9;514;Bescheid
42253;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, ehem. Kupferschmidhaus, Gasthaus zur blauen Ente;Goldgasse 10;49;Bescheid
42709;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Brucknerhaus;Goldgasse 11;57;Bescheid
42250;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schönsleben- oder Baumeisterhaus;Goldgasse 12;48;Bescheid
42254;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Drahtzieherhaus;Goldgasse 14;45;Bescheid
44266;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Spinnstätterhaus (1775);Goldgasse 15;59;Bescheid
42710;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Glasererhaus;Goldgasse 16;44;Bescheid
42711;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Eckhaus am Aschhof, Zinngiesserhaus;Goldgasse 19;61;Bescheid
45590;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Reitsamerhaus;Goldgasse 5;54;Bescheid
44202;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Hofgeigenmacher- bzw.Fragnerhaus und Melblerhaus;Goldgasse 6-8;51;Bescheid
44267;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schnitlauer- oder Sporerhaus;Goldgasse 7;55;Bescheid
42708;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Hofbinderhaus;Goldgasse 9;56;Bescheid
35605;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Bergerhaus;Griesgasse 1;508;Bescheid
35608;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Griesgasse 11;494;Bescheid
42174;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Kronhaus;Griesgasse 15;484/1;Bescheid
42279;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Griesgasse 17;477, 478;Bescheid
35609;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Fleischbankstock;Griesgasse 19,19a;"470; 474/1";Bescheid
42057;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, ehem. Schmiede am Trenkthore;Griesgasse 21;469;Bescheid
42058;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Köglhaus;Griesgasse 27;450;Bescheid
42248;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Fuchsenhaus;Griesgasse 29;449;Bescheid
35606;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Stadtgerichtsdienerhaus;Griesgasse 3;"505; 506";Bescheid
42409;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Fischwässerer- oder Fuchsenhaus;Griesgasse 31;448/1;Bescheid
